Time,CPU Freq,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Thu Mar 05 12:12:45 EST 2015,24000,0.0,573235200,2099159040,1525923840
Thu Mar 05 12:12:47 EST 2015,24000,0.74257255,573235200,2099159040,1525923840
Thu Mar 05 12:12:49 EST 2015,24000,0.24875402,573235200,2099159040,1525923840
Thu Mar 05 12:12:51 EST 2015,24000,0.24999976,571138048,2099159040,1528020992
Thu Mar 05 12:12:53 EST 2015,24000,0.24937391,571138048,2099159040,1528020992
Thu Mar 05 12:12:55 EST 2015,24000,1.2468815,564084736,2099159040,1535074304
Thu Mar 05 12:12:57 EST 2015,24000,0.24937391,564084736,2099159040,1535074304
Thu Mar 05 12:12:59 EST 2015,24000,0.0,564084736,2099159040,1535074304
Thu Mar 05 12:13:01 EST 2015,24000,0.4987538,564084736,2099159040,1535074304
Thu Mar 05 12:13:03 EST 2015,24000,0.2506256,562434048,2099159040,1536724992
