Time,CPU Freq,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Thu Mar 05 17:51:18 GMT 2015,26000,0.0,2776784896,8589934592,5813149696
Thu Mar 05 17:51:20 GMT 2015,26000,46.56679,2686746624,8589934592,5903187968
Thu Mar 05 17:51:22 GMT 2015,26000,19.97503,2660290560,8589934592,5929644032
Thu Mar 05 17:51:24 GMT 2015,26000,4.1095915,2660929536,8589934592,5929005056
Thu Mar 05 17:51:26 GMT 2015,26000,10.891092,2657824768,8589934592,5932109824
Thu Mar 05 17:51:28 GMT 2015,26000,4.234123,2658107392,8589934592,5931827200
Thu Mar 05 17:51:30 GMT 2015,26000,3.9801002,2656870400,8589934592,5933064192
Thu Mar 05 17:51:32 GMT 2015,26000,3.46964,2657370112,8589934592,5932564480
Thu Mar 05 17:51:34 GMT 2015,26000,3.3623934,2655780864,8589934592,5934153728
Thu Mar 05 17:51:36 GMT 2015,26000,3.7220836,2656391168,8589934592,5933543424
Thu Mar 05 17:51:38 GMT 2015,26000,3.3623934,2656698368,8589934592,5933236224
Thu Mar 05 17:51:40 GMT 2015,26000,4.104477,2656194560,8589934592,5933740032
Thu Mar 05 17:51:42 GMT 2015,26000,3.6114573,2656428032,8589934592,5933506560
Thu Mar 05 17:51:44 GMT 2015,26000,4.218364,2657853440,8589934592,5932081152
Thu Mar 05 17:51:46 GMT 2015,26000,8.560795,2616893440,8589934592,5973041152
Thu Mar 05 17:51:48 GMT 2015,26000,3.2298148,2617085952,8589934592,5972848640
Thu Mar 05 17:51:50 GMT 2015,26000,3.3540368,2617389056,8589934592,5972545536
Thu Mar 05 17:51:52 GMT 2015,26000,2.8678298,2617606144,8589934592,5972328448
Thu Mar 05 17:51:54 GMT 2015,26000,3.5891116,2616856576,8589934592,5973078016
Thu Mar 05 17:51:56 GMT 2015,26000,3.3623934,2616848384,8589934592,5973086208
Thu Mar 05 17:51:58 GMT 2015,26000,3.1055927,2617028608,8589934592,5972905984
Thu Mar 05 17:52:00 GMT 2015,26000,2.233249,2617327616,8589934592,5972606976
Thu Mar 05 17:52:02 GMT 2015,26000,1.6109049,2616655872,8589934592,5973278720
