Time,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Thu Mar 19 19:38:37 GMT 2015,0.0,508006400,8589934592,8081928192
Thu Mar 19 19:38:39 GMT 2015,35.660847,412635136,8589934592,8177299456
Thu Mar 19 19:38:41 GMT 2015,15.012407,401190912,8589934592,8188743680
Thu Mar 19 19:38:43 GMT 2015,4.358655,400838656,8589934592,8189095936
Thu Mar 19 19:38:45 GMT 2015,5.445546,399450112,8589934592,8190484480
Thu Mar 19 19:38:47 GMT 2015,16.500002,375746560,8589934592,8214188032
Thu Mar 19 19:38:49 GMT 2015,9.950251,365600768,8589934592,8224333824
Thu Mar 19 19:38:51 GMT 2015,5.583125,364560384,8589934592,8225374208
Thu Mar 19 19:38:53 GMT 2015,26.558601,374595584,8589934592,8215339008
Thu Mar 19 19:38:55 GMT 2015,17.990076,373886976,8589934592,8216047616
Thu Mar 19 19:38:57 GMT 2015,10.945272,378073088,8589934592,8211861504
